Time	V(N001)	V(N002)	I(V1)	I(R1)	I(L1)	
0.094	-1.84062	0.288274	0.0021289	0.0021289	0.0021289	
0.095	-1.54508	0.295538	0.00184062	0.00184062	0.00184062	
0.096	-1.24345	0.301636	0.00154508	0.00154508	0.00154508	
0.097	-0.936907	0.306543	0.00124345	0.00124345	0.00124345	
0.098	-0.626666	0.31024	0.000936907	0.000936907	0.000936907	
0.099	-0.313953	0.312714	0.000626666	0.000626666	0.000626666	
0.1	2.09798e-14	0.313953	0.000313953	0.000313953	0.000313953	
0.101	0.313953	0.313953	5.55112e-17	-2.09832e-17	-2.09793e-17	
0.102	0.626666	0.312714	-0.000313953	-0.000313953	-0.000313953	
0.103	0.936907	0.31024	-0.000626666	-0.000626666	-0.000626666	
0.104	1.24345	0.306543	-0.000936907	-0.000936907	-0.000936907	
0.105	1.54508	0.301636	-0.00124345	-0.00124345	-0.00124345	
0.106	1.84062	0.295538	-0.00154508	-0.00154508	-0.00154508	
0.107	2.1289	0.288274	-0.00184062	-0.00184062	-0.00184062	
0.108	2.40877	0.279872	-0.0021289	-0.0021289	-0.0021289	
0.109	2.67913	0.270366	-0.00240877	-0.00240877	-0.00240877	
0.11	2.93893	0.259792	-0.00267913	-0.00267913	-0.00267913	
0.111	3.18712	0.248194	-0.00293893	-0.00293893	-0.00293893	
0.112	3.42274	0.235616	-0.00318712	-0.00318712	-0.00318712	
0.113	3.64484	0.222108	-0.00342274	-0.00342274	-0.00342274	
0.114	3.85257	0.207723	-0.00364484	-0.00364484	-0.00364484	
0.115	4.04508	0.192519	-0.00385257	-0.00385257	-0.00385257	
0.116	4.22164	0.176555	-0.00404508	-0.00404508	-0.00404508	
0.117	4.38153	0.159894	-0.00422164	-0.00422164	-0.00422164	
0.118	4.52414	0.142602	-0.00438153	-0.00438153	-0.00438153	
0.119	4.64888	0.124747	-0.00452414	-0.00452414	-0.00452414	
0.12	4.75528	0.1064	-0.00464888	-0.00464888	-0.00464888	
0.121	4.84292	0.0876332	-0.00475528	-0.00475528	-0.00475528	
0.122	4.91144	0.0685204	-0.00484292	-0.00484292	-0.00484292	
0.123	4.96057	0.0491373	-0.00491144	-0.00491144	-0.00491144	
0.124	4.99013	0.0295601	-0.00496057	-0.00496057	-0.00496057	
0.125	5	0.00986636	-0.00499013	-0.00499013	-0.00499013	
0.126	4.99013	-0.00986636	-0.005	-0.005	-0.005	
0.127	4.96057	-0.0295601	-0.00499013	-0.00499013	-0.00499013	
0.128	4.91144	-0.0491373	-0.00496057	-0.00496057	-0.00496057	
0.129	4.84292	-0.0685204	-0.00491144	-0.00491144	-0.00491144	
0.13	4.75528	-0.0876332	-0.00484292	-0.00484292	-0.00484292	
0.131	4.64888	-0.1064	-0.00475528	-0.00475528	-0.00475528	
0.132	4.52414	-0.124747	-0.00464888	-0.00464888	-0.00464888	
0.133	4.38153	-0.142602	-0.00452414	-0.00452414	-0.00452414	
0.134	4.22164	-0.159894	-0.00438153	-0.00438153	-0.00438153	
0.135	4.04508	-0.176555	-0.00422164	-0.00422164	-0.00422164	
0.136	3.85257	-0.192519	-0.00404508	-0.00404508	-0.00404508	
0.137	3.64484	-0.207723	-0.00385257	-0.00385257	-0.00385257	
0.138	3.42274	-0.222108	-0.00364484	-0.00364484	-0.00364484	
0.139	3.18712	-0.235616	-0.00342274	-0.00342274	-0.00342274	
0.14	2.93893	-0.248194	-0.00318712	-0.00318712	-0.00318712	
0.141	2.67913	-0.259792	-0.00293893	-0.00293893	-0.00293893	
0.142	2.40877	-0.270366	-0.00267913	-0.00267913	-0.00267913	
0.143	2.1289	-0.279872	-0.00240877	-0.00240877	-0.00240877	
0.144	1.84062	-0.288274	-0.0021289	-0.0021289	-0.0021289	
0.145	1.54508	-0.295538	-0.00184062	-0.00184062	-0.00184062	
0.146	1.24345	-0.301636	-0.00154508	-0.00154508	-0.00154508	
0.147	0.936907	-0.306543	-0.00124345	-0.00124345	-0.00124345	
0.148	0.626666	-0.31024	-0.000936907	-0.000936907	-0.000936907	
0.149	0.313953	-0.312714	-0.000626666	-0.000626666	-0.000626666	
0.15	-3.36902e-14	-0.313953	-0.000313953	-0.000313953	-0.000313953	
0.151	-0.313953	-0.313953	0	3.36953e-17	3.37187e-17	
0.152	-0.626666	-0.312714	0.000313953	0.000313953	0.000313953	
0.153	-0.936907	-0.31024	0.000626666	0.000626666	0.000626666	
0.154	-1.24345	-0.306543	0.000936907	0.000936907	0.000936907	
0.155	-1.54508	-0.301636	0.00124345	0.00124345	0.00124345	
0.156	-1.84062	-0.295538	0.00154508	0.00154508	0.00154508	
0.157	-2.1289	-0.288274	0.00184062	0.00184062	0.00184062	
0.158	-2.40877	-0.279872	0.0021289	0.0021289	0.0021289	
0.159	-2.67913	-0.270366	0.00240877	0.00240877	0.00240877	
0.16	-2.93893	-0.259792	0.00267913	0.00267913	0.00267913	
0.161	-3.18712	-0.248194	0.00293893	0.00293893	0.00293893	
0.162	-3.42274	-0.235616	0.00318712	0.00318712	0.00318712	
0.163	-3.64484	-0.222108	0.00342274	0.00342274	0.00342274	
0.164	-3.85257	-0.207723	0.00364484	0.00364484	0.00364484	
0.165	-4.04508	-0.192519	0.00385257	0.00385257	0.00385257	
0.166	-4.22164	-0.176555	0.00404508	0.00404508	0.00404508	
0.167	-4.38153	-0.159894	0.00422164	0.00422164	0.00422164	
0.168	-4.52414	-0.142602	0.00438153	0.00438153	0.00438153	
0.169	-4.64888	-0.124747	0.00452414	0.00452414	0.00452414	
0.17	-4.75528	-0.1064	0.00464888	0.00464888	0.00464888	
0.171	-4.84292	-0.0876332	0.00475528	0.00475528	0.00475528	
0.172	-4.91144	-0.0685204	0.00484292	0.00484292	0.00484292	
0.173	-4.96057	-0.0491373	0.00491144	0.00491144	0.00491144	
0.174	-4.99013	-0.0295601	0.00496057	0.00496057	0.00496057	
0.175	-5	-0.00986636	0.00499013	0.00499013	0.00499013	
0.176	-4.99013	0.00986636	0.005	0.005	0.005	
0.177	-4.96057	0.0295601	0.00499013	0.00499013	0.00499013	
0.178	-4.91144	0.0491373	0.00496057	0.00496057	0.00496057	
0.179	-4.84292	0.0685204	0.00491144	0.00491144	0.00491144	
0.18	-4.75528	0.0876332	0.00484292	0.00484292	0.00484292	
0.181	-4.64888	0.1064	0.00475528	0.00475528	0.00475528	
0.182	-4.52414	0.124747	0.00464888	0.00464888	0.00464888	
0.183	-4.38153	0.142602	0.00452414	0.00452414	0.00452414	
0.184	-4.22164	0.159894	0.00438153	0.00438153	0.00438153	
0.185	-4.04508	0.176555	0.00422164	0.00422164	0.00422164	
0.186	-3.85257	0.192519	0.00404508	0.00404508	0.00404508	
0.187	-3.64484	0.207723	0.00385257	0.00385257	0.00385257	
0.188	-3.42274	0.222108	0.00364484	0.00364484	0.00364484	
0.189	-3.18712	0.235616	0.00342274	0.00342274	0.00342274	
0.19	-2.93893	0.248194	0.00318712	0.00318712	0.00318712	
0.191	-2.67913	0.259792	0.00293893	0.00293893	0.00293893	
0.192	-2.40877	0.270366	0.00267913	0.00267913	0.00267913	
0.193	-2.1289	0.279872	0.00240877	0.00240877	0.00240877	
0.194	-1.84062	0.288274	0.0021289	0.0021289	0.0021289	
0.195	-1.54508	0.295538	0.00184062	0.00184062	0.00184062	
0.196	-1.24345	0.301636	0.00154508	0.00154508	0.00154508	
0.197	-0.936907	0.306543	0.00124345	0.00124345	0.00124345	
0.198	-0.626666	0.31024	0.000936907	0.000936907	0.000936907	
0.199	-0.313953	0.312714	0.000626666	0.000626666	0.000626666	
0.2	4.19597e-14	0.313953	0.000313953	0.000313953	0.000313953	
0.201	0.313953	0.313953	0	-4.19664e-17	-4.19586e-17	
0.202	0.626666	0.312714	-0.000313953	-0.000313953	-0.000313953	
0.203	0.936907	0.31024	-0.000626666	-0.000626666	-0.000626666	
0.204	1.24345	0.306543	-0.000936907	-0.000936907	-0.000936907	
0.205	1.54508	0.301636	-0.00124345	-0.00124345	-0.00124345	
0.206	1.84062	0.295538	-0.00154508	-0.00154508	-0.00154508	
0.207	2.1289	0.288274	-0.00184062	-0.00184062	-0.00184062	
0.208	2.40877	0.279872	-0.0021289	-0.0021289	-0.0021289	
0.209	2.67913	0.270366	-0.00240877	-0.00240877	-0.00240877	
0.21	2.93893	0.259792	-0.00267913	-0.00267913	-0.00267913	
0.211	3.18712	0.248194	-0.00293893	-0.00293893	-0.00293893	
0.212	3.42274	0.235616	-0.00318712	-0.00318712	-0.00318712	
0.213	3.64484	0.222108	-0.00342274	-0.00342274	-0.00342274	
0.214	3.85257	0.207723	-0.00364484	-0.00364484	-0.00364484	
0.215	4.04508	0.192519	-0.00385257	-0.00385257	-0.00385257	
0.216	4.22164	0.176555	-0.00404508	-0.00404508	-0.00404508	
0.217	4.38153	0.159894	-0.00422164	-0.00422164	-0.00422164	
0.218	4.52414	0.142602	-0.00438153	-0.00438153	-0.00438153	
0.219	4.64888	0.124747	-0.00452414	-0.00452414	-0.00452414	
0.22	4.75528	0.1064	-0.00464888	-0.00464888	-0.00464888	
0.221	4.84292	0.0876332	-0.00475528	-0.00475528	-0.00475528	
0.222	4.91144	0.0685204	-0.00484292	-0.00484292	-0.00484292	
0.223	4.96057	0.0491373	-0.00491144	-0.00491144	-0.00491144	
0.224	4.99013	0.0295601	-0.00496057	-0.00496057	-0.00496057	
0.225	5	0.00986636	-0.00499013	-0.00499013	-0.00499013	
0.226	4.99013	-0.00986636	-0.005	-0.005	-0.005	
0.227	4.96057	-0.0295601	-0.00499013	-0.00499013	-0.00499013	
0.228	4.91144	-0.0491373	-0.00496057	-0.00496057	-0.00496057	
0.229	4.84292	-0.0685204	-0.00491144	-0.00491144	-0.00491144	
0.23	4.75528	-0.0876332	-0.00484292	-0.00484292	-0.00484292	
0.231	4.64888	-0.1064	-0.00475528	-0.00475528	-0.00475528	
0.232	4.52414	-0.124747	-0.00464888	-0.00464888	-0.00464888	
0.233	4.38153	-0.142602	-0.00452414	-0.00452414	-0.00452414	
0.234	4.22164	-0.159894	-0.00438153	-0.00438153	-0.00438153	
0.235	4.04508	-0.176555	-0.00422164	-0.00422164	-0.00422164	
0.236	3.85257	-0.192519	-0.00404508	-0.00404508	-0.00404508	
0.237	3.64484	-0.207723	-0.00385257	-0.00385257	-0.00385257	
0.238	3.42274	-0.222108	-0.00364484	-0.00364484	-0.00364484	
0.239	3.18712	-0.235616	-0.00342274	-0.00342274	-0.00342274	
0.24	2.93893	-0.248194	-0.00318712	-0.00318712	-0.00318712	
0.241	2.67913	-0.259792	-0.00293893	-0.00293893	-0.00293893	
0.242	2.40877	-0.270366	-0.00267913	-0.00267913	-0.00267913	
0.243	2.1289	-0.279872	-0.00240877	-0.00240877	-0.00240877	
0.244	1.84062	-0.288274	-0.0021289	-0.0021289	-0.0021289	
0.245	1.54508	-0.295538	-0.00184062	-0.00184062	-0.00184062	
0.246	1.24345	-0.301636	-0.00154508	-0.00154508	-0.00154508	
0.247	0.936907	-0.306543	-0.00124345	-0.00124345	-0.00124345	
0.248	0.626666	-0.31024	-0.000936907	-0.000936907	-0.000936907	
0.249	0.313953	-0.312714	-0.000626666	-0.000626666	-0.000626666	
0.25	-5.02291e-14	-0.313953	-0.000313953	-0.000313953	-0.000313953	
0.251	-0.313953	-0.313953	0	5.02376e-17	5.02528e-17	
0.252	-0.626666	-0.312714	0.000313953	0.000313953	0.000313953	
0.253	-0.936907	-0.31024	0.000626666	0.000626666	0.000626666	
0.254	-1.24345	-0.306543	0.000936907	0.000936907	0.000936907	
0.255	-1.54508	-0.301636	0.00124345	0.00124345	0.00124345	
0.256	-1.84062	-0.295538	0.00154508	0.00154508	0.00154508	
0.257	-2.1289	-0.288274	0.00184062	0.00184062	0.00184062	
0.258	-2.40877	-0.279872	0.0021289	0.0021289	0.0021289	
0.259	-2.67913	-0.270366	0.00240877	0.00240877	0.00240877	
0.26	-2.93893	-0.259792	0.00267913	0.00267913	0.00267913	
0.261	-3.18712	-0.248194	0.00293893	0.00293893	0.00293893	
0.262	-3.42274	-0.235616	0.00318712	0.00318712	0.00318712	
0.263	-3.64484	-0.222108	0.00342274	0.00342274	0.00342274	
0.264	-3.85257	-0.207723	0.00364484	0.00364484	0.00364484	
0.265	-4.04508	-0.192519	0.00385257	0.00385257	0.00385257	
0.266	-4.22164	-0.176555	0.00404508	0.00404508	0.00404508	
0.267	-4.38153	-0.159894	0.00422164	0.00422164	0.00422164	
0.268	-4.52414	-0.142602	0.00438153	0.00438153	0.00438153	
0.269	-4.64888	-0.124747	0.00452414	0.00452414	0.00452414	
0.27	-4.75528	-0.1064	0.00464888	0.00464888	0.00464888	
0.271	-4.84292	-0.0876332	0.00475528	0.00475528	0.00475528	
0.272	-4.91144	-0.0685204	0.00484292	0.00484292	0.00484292	
0.273	-4.96057	-0.0491373	0.00491144	0.00491144	0.00491144	
0.274	-4.99013	-0.0295601	0.00496057	0.00496057	0.00496057	
0.275	-5	-0.00986636	0.00499013	0.00499013	0.00499013	
0.276	-4.99013	0.00986636	0.005	0.005	0.005	
0.277	-4.96057	0.0295601	0.00499013	0.00499013	0.00499013	
0.278	-4.91144	0.0491373	0.00496057	0.00496057	0.00496057	
0.279	-4.84292	0.0685204	0.00491144	0.00491144	0.00491144	
0.28	-4.75528	0.0876332	0.00484292	0.00484292	0.00484292	
0.281	-4.64888	0.1064	0.00475528	0.00475528	0.00475528	
0.282	-4.52414	0.124747	0.00464888	0.00464888	0.00464888	
0.283	-4.38153	0.142602	0.00452414	0.00452414	0.00452414	
0.284	-4.22164	0.159894	0.00438153	0.00438153	0.00438153	
0.285	-4.04508	0.176555	0.00422164	0.00422164	0.00422164	
0.286	-3.85257	0.192519	0.00404508	0.00404508	0.00404508	
0.287	-3.64484	0.207723	0.00385257	0.00385257	0.00385257	
0.288	-3.42274	0.222108	0.00364484	0.00364484	0.00364484	
0.289	-3.18712	0.235616	0.00342274	0.00342274	0.00342274	
0.29	-2.93893	0.248194	0.00318712	0.00318712	0.00318712	
0.291	-2.67913	0.259792	0.00293893	0.00293893	0.00293893	
0.292	-2.40877	0.270366	0.00267913	0.00267913	0.00267913	
0.293	-2.1289	0.279872	0.00240877	0.00240877	0.00240877	
0.294	-1.84062	0.288274	0.0021289	0.0021289	0.0021289	
0.295	-1.54508	0.295538	0.00184062	0.00184062	0.00184062	
0.296	-1.24345	0.301636	0.00154508	0.00154508	0.00154508	
0.297	-0.936907	0.306543	0.00124345	0.00124345	0.00124345	
0.298	-0.626666	0.31024	0.000936907	0.000936907	0.000936907	
0.299	-0.313953	0.312714	0.000626666	0.000626666	0.000626666	
0.3	6.73804e-14	0.313953	0.000313953	0.000313953	0.000313953	
0.301	0.313953	0.313953	0	-6.73905e-17	-6.73832e-17	
0.302	0.626666	0.312714	-0.000313953	-0.000313953	-0.000313953	
0.303	0.936907	0.31024	-0.000626666	-0.000626666	-0.000626666	
0.304	1.24345	0.306543	-0.000936907	-0.000936907	-0.000936907	
0.305	1.54508	0.301636	-0.00124345	-0.00124345	-0.00124345	
0.306	1.84062	0.295538	-0.00154508	-0.00154508	-0.00154508	
0.307	2.1289	0.288274	-0.00184062	-0.00184062	-0.00184062	
0.308	2.40877	0.279872	-0.0021289	-0.0021289	-0.0021289	
0.309	2.67913	0.270366	-0.00240877	-0.00240877	-0.00240877	
0.31	2.93893	0.259792	-0.00267913	-0.00267913	-0.00267913	
0.311	3.18712	0.248194	-0.00293893	-0.00293893	-0.00293893	
0.312	3.42274	0.235616	-0.00318712	-0.00318712	-0.00318712	
0.313	3.64484	0.222108	-0.00342274	-0.00342274	-0.00342274	
0.314	3.85257	0.207723	-0.00364484	-0.00364484	-0.00364484	
0.315	4.04508	0.192519	-0.00385257	-0.00385257	-0.00385257	
0.316	4.22164	0.176555	-0.00404508	-0.00404508	-0.00404508	
0.317	4.38153	0.159894	-0.00422164	-0.00422164	-0.00422164	
0.318	4.52414	0.142602	-0.00438153	-0.00438153	-0.00438153	
0.319	4.64888	0.124747	-0.00452414	-0.00452414	-0.00452414	
0.32	4.75528	0.1064	-0.00464888	-0.00464888	-0.00464888	
0.321	4.84292	0.0876332	-0.00475528	-0.00475528	-0.00475528	
0.322	4.91144	0.0685204	-0.00484292	-0.00484292	-0.00484292	
0.323	4.96057	0.0491373	-0.00491144	-0.00491144	-0.00491144	
0.324	4.99013	0.0295601	-0.00496057	-0.00496057	-0.00496057	
0.325	5	0.00986636	-0.00499013	-0.00499013	-0.00499013	
0.326	4.99013	-0.00986636	-0.005	-0.005	-0.005	
0.327	4.96057	-0.0295601	-0.00499013	-0.00499013	-0.00499013	
0.328	4.91144	-0.0491373	-0.00496057	-0.00496057	-0.00496057	
0.329	4.84292	-0.0685204	-0.00491144	-0.00491144	-0.00491144	
0.33	4.75528	-0.0876332	-0.00484292	-0.00484292	-0.00484292	
0.331	4.64888	-0.1064	-0.00475528	-0.00475528	-0.00475528	
0.332	4.52414	-0.124747	-0.00464888	-0.00464888	-0.00464888	
0.333	4.38153	-0.142602	-0.00452414	-0.00452414	-0.00452414	
0.334	4.22164	-0.159894	-0.00438153	-0.00438153	-0.00438153	
0.335	4.04508	-0.176555	-0.00422164	-0.00422164	-0.00422164	
0.336	3.85257	-0.192519	-0.00404508	-0.00404508	-0.00404508	
0.337	3.64484	-0.207723	-0.00385257	-0.00385257	-0.00385257	
0.338	3.42274	-0.222108	-0.00364484	-0.00364484	-0.00364484	
0.339	3.18712	-0.235616	-0.00342274	-0.00342274	-0.00342274	
0.34	2.93893	-0.248194	-0.00318712	-0.00318712	-0.00318712	
0.341	2.67913	-0.259792	-0.00293893	-0.00293893	-0.00293893	
0.342	2.40877	-0.270366	-0.00267913	-0.00267913	-0.00267913	
0.343	2.1289	-0.279872	-0.00240877	-0.00240877	-0.00240877	
0.344	1.84062	-0.288274	-0.0021289	-0.0021289	-0.0021289	
0.345	1.54508	-0.295538	-0.00184062	-0.00184062	-0.00184062	
0.346	1.24345	-0.301636	-0.00154508	-0.00154508	-0.00154508	
0.347	0.936907	-0.306543	-0.00124345	-0.00124345	-0.00124345	
0.348	0.626666	-0.31024	-0.000936907	-0.000936907	-0.000936907	
0.349	0.313953	-0.312714	-0.000626666	-0.000626666	-0.000626666	
0.35	-8.45316e-14	-0.313953	-0.000313953	-0.000313953	-0.000313953	
0.351	-0.313953	-0.313953	5.55112e-17	8.45435e-17	8.45678e-17	
0.352	-0.626666	-0.312714	0.000313953	0.000313953	0.000313953	
0.353	-0.936907	-0.31024	0.000626666	0.000626666	0.000626666	
0.354	-1.24345	-0.306543	0.000936907	0.000936907	0.000936907	
0.355	-1.54508	-0.301636	0.00124345	0.00124345	0.00124345	
0.356	-1.84062	-0.295538	0.00154508	0.00154508	0.00154508	
0.357	-2.1289	-0.288274	0.00184062	0.00184062	0.00184062	
0.358	-2.40877	-0.279872	0.0021289	0.0021289	0.0021289	
0.359	-2.67913	-0.270366	0.00240877	0.00240877	0.00240877	
0.36	-2.93893	-0.259792	0.00267913	0.00267913	0.00267913	
0.361	-3.18712	-0.248194	0.00293893	0.00293893	0.00293893	
0.362	-3.42274	-0.235616	0.00318712	0.00318712	0.00318712	
0.363	-3.64484	-0.222108	0.00342274	0.00342274	0.00342274	
0.364	-3.85257	-0.207723	0.00364484	0.00364484	0.00364484	
0.365	-4.04508	-0.192519	0.00385257	0.00385257	0.00385257	
0.366	-4.22164	-0.176555	0.00404508	0.00404508	0.00404508	
0.367	-4.38153	-0.159894	0.00422164	0.00422164	0.00422164	
0.368	-4.52414	-0.142602	0.00438153	0.00438153	0.00438153	
0.369	-4.64888	-0.124747	0.00452414	0.00452414	0.00452414	
0.37	-4.75528	-0.1064	0.00464888	0.00464888	0.00464888	
0.371	-4.84292	-0.0876332	0.00475528	0.00475528	0.00475528	
0.372	-4.91144	-0.0685204	0.00484292	0.00484292	0.00484292	
0.373	-4.96057	-0.0491373	0.00491144	0.00491144	0.00491144	
0.374	-4.99013	-0.0295601	0.00496057	0.00496057	0.00496057	
0.375	-5	-0.00986636	0.00499013	0.00499013	0.00499013	
0.376	-4.99013	0.00986636	0.005	0.005	0.005	
0.377	-4.96057	0.0295601	0.00499013	0.00499013	0.00499013	
0.378	-4.91144	0.0491373	0.00496057	0.00496057	0.00496057	
0.379	-4.84292	0.0685204	0.00491144	0.00491144	0.00491144	
0.38	-4.75528	0.0876332	0.00484292	0.00484292	0.00484292	
0.381	-4.64888	0.1064	0.00475528	0.00475528	0.00475528	
0.382	-4.52414	0.124747	0.00464888	0.00464888	0.00464888	
0.383	-4.38153	0.142602	0.00452414	0.00452414	0.00452414	
0.384	-4.22164	0.159894	0.00438153	0.00438153	0.00438153	
0.385	-4.04508	0.176555	0.00422164	0.00422164	0.00422164	
0.386	-3.85257	0.192519	0.00404508	0.00404508	0.00404508	
0.387	-3.64484	0.207723	0.00385257	0.00385257	0.00385257	
0.388	-3.42274	0.222108	0.00364484	0.00364484	0.00364484	
0.389	-3.18712	0.235616	0.00342274	0.00342274	0.00342274	
0.39	-2.93893	0.248194	0.00318712	0.00318712	0.00318712	
